key,subject,assessment,periodStart,periodEnd,key:audit,mark,moreInfo,edited
audit-record-01,"A","B","2000/03/01 08:00","2000/03/01 09:00",audit-01,APlus,null,true
audit-record-02,"B","C","2001/05/02 09:00","2001/05/03 12:00",audit-01,APlus,null,true
audit-record-03,"C","D","2005/04/03 08:00","2005/04/04 09:00",audit-02,A,null,true
audit-record-04,"D","E","2006/08/04 09:00","2006/08/05 12:00",audit-02,A,null,true
audit-record-05,"E","F","2010/09/05 08:00","2010/09/06 09:00",audit-03,B,null,true
audit-record-06,"F","G","2011/10/06 09:00","2011/10/07 12:00",audit-03,B,null,true
audit-record-07,"G","H","2001/11/07 08:00","2001/11/08 09:00",audit-04,C,null,true
audit-record-08,"H","I","2002/12/08 09:00","2002/12/09 12:00",audit-04,C,null,true
audit-record-09,"I","J","2009/01/09 08:00","2009/01/10 09:00",audit-05,F,null,true
audit-record-10,"J","K","2010/02/10 09:00","2010/02/11 12:00",audit-05,F,null,true
audit-record-11,"K","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/03/11 08:00","2004/03/12 09:00",audit-06,FMinus,null,true
audit-record-12,"L","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2005/04/12 09:00","2005/04/13 12:00",audit-06,FMinus,null,true
audit-record-13,"M","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/05/13 08:00","2004/05/14 09:00",audit-07,APlus,null,true
audit-record-14,"N","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/06/14 08:00","2004/06/15 09:00",audit-07,APlus,null,true
audit-record-15,"O","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/07/15 08:00","2004/07/16 09:00",audit-08,A,null,true
audit-record-16,"P","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/08/16 08:00","2004/08/17 09:00",audit-08,A,null,true
audit-record-17,"Q","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/09/17 08:00","2004/09/18 09:00",audit-09,B,null,false
audit-record-18,"R","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/10/18 08:00","2004/10/19 09:00",audit-09,B,null,false
audit-record-19,"S","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/11/19 08:00","2004/11/20 09:00",audit-10,C,null,true
audit-record-20,"T","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/12/20 08:00","2004/12/21 09:00",audit-10,C,null,true
audit-record-21,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","L","2004/01/21 08:00","2004/01/22 09:00",audit-11,F,null,true
audit-record-22,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","M","2004/02/22 08:00","2004/02/23 09:00",audit-11,F,null,true
audit-record-23,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","N","2004/03/23 08:00","2004/03/24 09:00",audit-12,FMinus,null,false
